flight_id,beam_id,event_timestamp,latitude,longitude,altitude,status
FLIGHT_101,BEAM_1,2026-03-30T17:26:00,54.343584,11.250248,33509,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T17:26:00,-10.484101,111.904615,28624,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T17:27:00,-70.383423,9.926383,37031,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:28:00,4.565467,145.6229,33011,DEGRADED
FLIGHT_103,BEAM_3,2026-03-30T17:28:00,27.884242,96.77804,38371,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:28:00,-6.642906,137.580141,28858,DEGRADED
FLIGHT_102,BEAM_2,2026-03-30T17:29:00,30.320489,162.791405,34488,DEGRADED
FLIGHT_101,BEAM_1,2026-03-30T17:30:00,-12.488776,-2.746253,31964,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T17:30:00,44.882375,-109.872894,38172,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:30:00,-26.863548,62.645201,30961,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T17:31:00,7.540147,-79.238974,33034,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:32:00,56.385622,82.755977,37609,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T17:32:00,50.40048,69.376763,38328,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:33:00,19.604526,-58.336381,33457,DEGRADED
FLIGHT_101,BEAM_1,2026-03-30T17:34:00,50.793938,47.414372,35394,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T17:34:00,64.523066,-60.758767,37164,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T17:34:00,-7.206464,-27.21288,32561,DEGRADED
FLIGHT_102,BEAM_2,2026-03-30T17:36:00,-1.483028,-103.951153,30173,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T17:36:00,-3.189782,50.614463,38386,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:37:00,70.821981,-53.636432,31996,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:37:00,51.117287,87.015361,31317,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T17:38:00,-24.437831,-93.91259,30017,DEGRADED
FLIGHT_102,BEAM_2,2026-03-30T17:39:00,41.76121,-144.538012,28915,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:40:00,65.802737,-89.234169,28711,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T17:40:00,-7.929631,-168.695073,28397,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T17:41:00,33.46228,55.973473,36715,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:41:00,-69.716234,-54.404877,34295,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T17:41:00,-75.737512,16.131643,35856,DEGRADED
FLIGHT_101,BEAM_1,2026-03-30T17:42:00,-33.07685,-159.744618,28713,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T17:43:00,-18.646555,-67.483219,28259,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T17:44:00,-22.249509,130.802061,28061,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:44:00,47.390403,-6.228806,32836,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T17:44:00,57.454096,-67.353124,29838,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:45:00,20.837425,139.623409,31913,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T17:46:00,38.883398,30.75109,36618,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T17:46:00,5.882622,-67.44423,34165,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:47:00,-69.45929,145.180794,37909,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:47:00,43.651484,147.17122,28779,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T17:48:00,72.241735,-32.674598,31311,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T17:49:00,28.805154,159.561497,29756,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:50:00,-74.974271,-61.899144,32669,DEGRADED
FLIGHT_102,BEAM_2,2026-03-30T17:50:00,-21.026924,108.768524,28275,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:51:00,-21.872984,92.592991,31111,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T17:52:00,-66.488651,149.646531,34378,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T17:52:00,-30.723188,41.559463,30832,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T17:52:00,-18.354432,33.598201,34398,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:54:00,44.884175,-27.819034,37333,DEGRADED
FLIGHT_105,BEAM_5,2026-03-30T17:54:00,-46.656816,-0.847636,38889,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T17:55:00,-4.144074,34.773573,28337,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:55:00,77.497847,-20.977343,29337,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:56:00,1.959985,88.253127,32879,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T17:56:00,-51.063673,-40.402699,37709,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T17:57:00,-23.69149,17.837097,35181,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T17:57:00,-66.958546,-100.879295,34080,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T17:59:00,41.559283,148.231717,33146,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T17:59:00,-41.174523,-0.519252,36651,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T18:00:00,38.910765,-38.286609,28501,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T18:01:00,18.143317,-39.131294,37593,DEGRADED
FLIGHT_101,BEAM_1,2026-03-30T18:02:00,29.001084,-49.698132,37849,DEGRADED
FLIGHT_104,BEAM_4,2026-03-30T18:02:00,-61.627126,-112.163643,36357,DEGRADED
FLIGHT_102,BEAM_2,2026-03-30T18:03:00,-69.063254,9.733757,34112,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T18:04:00,29.239006,90.112502,37717,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T18:04:00,-2.066689,-70.244744,34108,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T18:05:00,31.199681,28.377616,33796,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T18:05:00,-12.06021,-48.992876,32735,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T18:07:00,-5.717898,-12.305599,38975,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T18:07:00,71.142986,86.526728,29165,DEGRADED
FLIGHT_104,BEAM_4,2026-03-30T18:07:00,3.6607,138.380432,33827,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T18:07:00,66.861985,76.54073,35054,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T18:09:00,2.705192,114.985587,38358,DEGRADED
FLIGHT_105,BEAM_5,2026-03-30T18:09:00,-35.033612,-167.043994,33928,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T18:11:00,-52.672919,126.130963,34718,ACTIVE
FLIGHT_102,BEAM_2,2026-03-30T18:11:00,-18.91086,-63.430398,37323,ACTIVE
FLIGHT_103,BEAM_3,2026-03-30T18:12:00,-0.49943,0.749372,34755,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T18:12:00,20.359215,30.183155,33933,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T18:12:00,-68.593788,-79.288507,33904,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T18:14:00,17.910551,23.657196,29720,DEGRADED
FLIGHT_102,BEAM_2,2026-03-30T18:14:00,30.980752,112.906066,30069,ACTIVE
FLIGHT_101,BEAM_1,2026-03-30T18:16:00,72.588715,5.313112,29394,ACTIVE
FLIGHT_104,BEAM_4,2026-03-30T18:16:00,-7.473566,113.381701,35544,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T18:16:00,-75.974245,-122.180114,34909,DEGRADED
FLIGHT_102,BEAM_2,2026-03-30T18:18:00,73.65538,-104.617445,37936,ACTIVE
FLIGHT_105,BEAM_5,2026-03-30T18:18:00,62.221161,-57.713577,29504,ACTIVE
